Vacation_Search,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Carangola,BR,78.3,overcast clouds,-20.73,-42.03,Hotel Fazenda Búfalos
471,Nikki,BJ,85.39,broken clouds,9.94,3.21,Hotel John
475,Ardakan,IR,84.2,few clouds,32.31,54.02,Ardakan Hotel
480,Chipinge,ZW,82.53,scattered clouds,-20.19,32.62,Mutare Club
485,Buala,SB,79.32,clear sky,-8.14,159.59,Maringe Lagoon Lodge
487,Bouna,CI,83.59,moderate rain,9.27,-3.0,Hotel Reserve
488,Gizo,SB,81.48,clear sky,-8.1,156.84,Imagination Island
489,Mogadishu,SO,82.4,broken clouds,2.04,45.34,Hotel Juba
498,Kununurra,AU,80.6,broken clouds,-15.77,128.73,Hotel Kununurra
507,Boali,CF,86.0,thunderstorm with light rain,4.8,18.13,Auberge des Cocotiers Boali poste
