WeatherPy_Database.csv,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Kruisfontein,ZA,2020-10-04 03:31:38,-34.0,24.73,57.99,97,86,3.13
175,Boa Vista,BR,2020-10-04 03:34:50,2.82,-60.67,82.4,69,20,5.82
176,Pampierstad,ZA,2020-10-04 03:34:50,-27.78,24.69,37.47,75,0,0.54
177,Sinnamary,GF,2020-10-04 03:32:29,5.38,-52.95,78.89,88,24,8.88
178,Barmer,IN,2020-10-04 03:34:50,25.75,71.38,85.6,43,0,9.24
179,Kautokeino,NO,2020-10-04 03:34:50,69.01,23.04,39.52,92,95,11.9
180,Tahta,EG,2020-10-04 03:34:51,26.77,31.5,75.2,50,0,9.17
181,High Level,CA,2020-10-04 03:34:51,58.52,-117.14,55.4,71,75,2.35
182,Beyneu,KZ,2020-10-04 03:32:21,45.32,55.2,60.64,33,0,4.0
183,Bambous Virieux,MU,2020-10-04 03:31:41,-20.34,57.76,73.99,94,75,3.36
184,Mayo,US,2020-10-04 03:32:11,38.89,-76.51,53.6,100,1,2.1
185,Mazyr,BY,2020-10-04 03:34:51,52.05,29.25,57.83,76,96,14.23
186,Yarmouth,US,2020-10-04 03:34:51,41.71,-70.23,55.0,93,1,6.64
187,Jiuquan,CN,2020-10-04 03:34:51,39.74,98.52,48.45,41,14,7.07
188,Akhtubinsk,RU,2020-10-04 03:34:51,48.28,46.17,55.06,36,100,7.27
189,Sinazongwe,ZM,2020-10-04 03:34:51,-17.26,27.46,74.34,45,28,3.49
190,Nikolskoye,RU,2020-10-04 03:31:54,59.7,30.79,53.01,76,72,8.95
191,Dalvik,IS,2020-10-04 03:34:51,65.97,-18.53,37.4,100,90,3.36
192,Robertsport,LR,2020-10-04 03:34:51,6.75,-11.37,76.87,86,100,5.93
193,Dourbali,TD,2020-10-04 03:34:52,11.81,15.86,80.24,64,76,5.19
194,Kahului,US,2020-10-04 03:31:48,20.89,-156.47,87.8,55,20,17.22
195,Esperance,AU,2020-10-04 03:31:56,-33.87,121.9,59.0,67,75,17.22
196,Fez,MA,2020-10-04 03:34:52,34.04,-5.0,57.2,76,75,2.24
197,Nanortalik,GL,2020-10-04 03:31:59,60.14,-45.24,35.42,85,100,8.99
198,Katangli,RU,2020-10-04 03:31:46,51.71,143.23,49.86,90,98,19.17
199,Piacabucu,BR,2020-10-04 03:32:05,-10.41,-36.43,73.06,86,79,7.36
200,Sao Joao Da Barra,BR,2020-10-04 03:31:51,-21.64,-41.05,75.25,85,99,15.14
201,Potosi,BO,2020-10-04 03:34:52,-19.58,-65.75,43.34,78,99,7.52
202,Barrow,US,2020-10-04 03:31:37,71.29,-156.79,33.8,86,90,11.41
203,Leeton,AU,2020-10-04 03:34:52,-34.57,146.4,89.6,19,22,23.04
204,Severo-Kurilsk,RU,2020-10-04 03:31:43,50.68,156.12,49.84,74,100,7.25
205,Fairbanks,US,2020-10-04 03:30:01,64.84,-147.72,51.8,53,1,8.05
206,San Ramon De La Nueva Oran,AR,2020-10-04 03:34:52,-23.13,-64.33,61.38,51,98,3.27
207,Mount Gambier,AU,2020-10-04 03:32:09,-37.83,140.77,53.6,100,90,20.8
208,Aksarka,RU,2020-10-04 03:34:52,66.56,67.8,33.19,93,88,11.25
209,Ulladulla,AU,2020-10-04 03:32:16,-35.35,150.47,86.0,30,48,10.29
210,Makakilo City,US,2020-10-04 03:34:53,21.35,-158.09,89.6,46,75,6.93
211,Merauke,ID,2020-10-04 03:32:02,-8.47,140.33,85.1,72,42,15.64
212,Kaeo,NZ,2020-10-04 03:32:03,-35.1,173.78,62.76,55,0,6.06
213,Amapa,BR,2020-10-04 03:32:04,1.0,-52.0,73.13,91,0,3.24
214,Deputatskiy,RU,2020-10-04 03:34:53,69.3,139.9,26.74,92,41,11.83
215,Bonavista,CA,2020-10-04 03:34:53,48.65,-53.11,54.0,86,100,5.99
216,Yulara,AU,2020-10-04 03:31:46,-25.24,130.99,64.4,82,75,14.99
217,Tefe,BR,2020-10-04 03:34:53,-3.35,-64.71,74.53,91,77,0.22
218,Minna,NG,2020-10-04 03:34:53,9.61,6.56,71.24,85,58,2.68
219,Vao,NC,2020-10-04 03:31:56,-22.67,167.48,69.98,77,24,25.26
220,Wanning,CN,2020-10-04 03:34:53,18.8,110.4,86.43,67,91,6.31
221,The Valley,AI,2020-10-04 03:34:53,18.22,-63.06,82.4,78,20,10.29
222,Langsa,ID,2020-10-04 03:33:46,4.47,97.97,91.62,54,94,1.57
223,Dwarka,IN,2020-10-04 03:32:09,22.24,68.97,83.3,68,0,8.79
224,Bundaberg,AU,2020-10-04 03:34:53,-24.85,152.35,78.8,27,10,14.99
225,Hithadhoo,MV,2020-10-04 03:31:43,-0.6,73.08,83.52,74,98,8.21
226,Port Blair,IN,2020-10-04 03:31:45,11.67,92.75,80.6,88,75,4.7
227,Fukue,JP,2020-10-04 03:34:53,32.69,128.84,78.8,69,75,6.93
228,Atar,MR,2020-10-04 03:32:29,20.52,-13.05,81.79,30,0,4.99
229,Salinopolis,BR,2020-10-04 03:34:54,-0.61,-47.36,79.75,79,73,10.71
230,Safaga,EG,2020-10-04 03:34:54,26.73,33.94,77.0,53,0,11.41
231,Roebourne,AU,2020-10-04 03:34:54,-20.78,117.13,80.44,16,8,22.08
232,Sorong,ID,2020-10-04 03:32:19,-0.88,131.25,82.94,75,75,4.54
233,Ontario,US,2020-10-04 03:34:54,34.06,-117.65,82.0,21,1,4.7
234,Mao,ES,2020-10-04 03:32:12,39.89,4.27,66.2,63,0,10.29
235,Cherskiy,RU,2020-10-04 03:31:47,68.75,161.3,34.72,78,43,10.94
236,Bryant,US,2020-10-04 03:34:54,34.6,-92.49,61.0,82,20,5.26
237,Verkhnevilyuysk,RU,2020-10-04 03:32:02,63.45,120.32,36.43,81,100,10.0
238,Khuzdar,PK,2020-10-04 03:34:54,27.74,66.64,76.86,17,0,2.53
239,Hirara,JP,2020-10-04 03:32:24,24.8,125.28,86.0,66,20,9.17
240,Ucluelet,CA,2020-10-04 03:32:20,48.93,-125.55,59.0,90,44,3.74
241,Kavaratti,IN,2020-10-04 03:31:44,10.57,72.64,82.4,74,40,6.93
242,Vardo,NO,2020-10-04 03:32:04,70.37,31.11,47.08,82,61,24.92
243,Bone,DE,2020-10-04 03:34:55,51.97,12.14,46.99,95,22,4.92
244,Berlevag,NO,2020-10-04 03:32:21,70.86,29.09,44.78,82,32,15.3
245,Peniche,PT,2020-10-04 03:34:55,39.36,-9.38,59.0,87,52,11.01
246,Inhambane,MZ,2020-10-04 03:31:50,-23.86,35.38,73.26,83,87,10.49
247,Suntar,RU,2020-10-04 03:32:24,62.14,117.63,36.93,79,98,9.71
248,Asau,RO,2020-10-04 03:34:55,46.43,26.4,51.01,93,56,3.11
249,Segou,ML,2020-10-04 03:34:55,13.43,-6.22,77.41,77,100,7.27
250,Abu Zabad,SD,2020-10-04 03:34:55,12.35,29.25,77.02,73,100,8.88
251,Belaya Gora,RU,2020-10-04 03:34:55,68.53,146.42,37.09,67,77,7.34
252,Acapulco,MX,2020-10-04 03:32:00,16.86,-99.89,79.34,79,64,3.94
253,Luganville,VU,2020-10-04 03:32:03,-15.53,167.17,80.6,74,75,5.82
254,Biak,ID,2020-10-04 03:31:49,-0.91,122.88,83.35,70,100,6.6
255,Bathsheba,BB,2020-10-04 03:32:18,13.22,-59.52,80.6,83,40,9.17
256,Aklavik,CA,2020-10-04 03:29:59,68.22,-135.01,46.4,81,75,2.24
257,Potsdam,DE,2020-10-04 03:34:55,52.4,13.07,55.99,84,92,3.98
258,Santa Lucia,ES,2020-10-04 03:34:56,27.91,-15.54,75.0,83,75,13.87
259,Wageningen,NL,2020-10-04 03:31:09,51.97,5.67,53.01,93,90,10.29
260,Faya,SA,2020-10-04 03:32:20,18.39,42.45,57.2,26,0,5.1
261,Grafton,US,2020-10-04 03:31:58,42.21,-71.69,48.0,90,0,3.78
262,Strenci,LV,2020-10-04 03:34:56,57.63,25.69,57.0,85,100,7.0
263,Mitu,CO,2020-10-04 03:34:56,1.2,-70.17,72.09,95,38,1.16
264,Ippy,CF,2020-10-04 03:34:56,6.27,21.22,68.23,96,100,1.66
265,Sao Filipe,CV,2020-10-04 03:31:46,14.9,-24.5,78.12,78,16,7.11
266,Naze,JP,2020-10-04 03:34:52,28.37,129.48,84.2,66,20,11.41
267,Imbituba,BR,2020-10-04 03:34:56,-28.24,-48.67,59.0,100,75,5.82
268,Sitka,US,2020-10-04 03:32:13,57.05,-135.33,53.6,87,75,6.93
269,Padang,ID,2020-10-04 03:31:40,-0.95,100.35,85.24,62,72,3.74
270,Manacapuru,BR,2020-10-04 03:34:56,-3.3,-60.62,78.8,94,8,2.98
271,Dordrecht,NL,2020-10-04 03:30:21,51.81,4.67,52.0,91,92,1.99
272,Chumikan,RU,2020-10-04 03:32:00,54.72,135.31,46.49,68,100,4.18
273,Sisimiut,GL,2020-10-04 03:34:57,66.94,-53.67,28.0,88,0,8.66
274,Hat Yai,TH,2020-10-04 03:34:08,7.01,100.48,86.0,70,75,5.88
275,Sarangani,PH,2020-10-04 03:32:12,5.4,125.46,84.85,75,100,13.91
276,Orange Cove,US,2020-10-04 03:34:57,36.62,-119.31,77.0,50,1,5.44
277,Alice Springs,AU,2020-10-04 03:31:40,-23.7,133.88,91.4,15,40,19.46
278,Zeya,RU,2020-10-04 03:32:16,53.75,127.27,46.45,65,100,11.9
279,Kamenka,RU,2020-10-04 03:34:57,51.32,42.77,51.19,63,79,6.02
280,Vanavara,RU,2020-10-04 03:34:57,60.34,102.28,38.32,90,97,7.87
281,Mezen,RU,2020-10-04 03:34:57,65.85,44.24,31.3,98,0,5.35
282,Ponta Do Sol,PT,2020-10-04 03:31:50,32.67,-17.1,69.8,77,40,10.29
283,Kungurtug,RU,2020-10-04 03:34:57,50.6,97.52,42.21,49,0,0.98
284,Teguldet,RU,2020-10-04 03:34:58,57.31,88.17,46.9,68,100,11.63
285,Westport,US,2020-10-04 03:34:58,41.14,-73.36,53.6,71,1,4.7
286,Bubaque,GW,2020-10-04 03:34:58,11.28,-15.83,80.53,79,100,11.01
287,Pekan,MY,2020-10-04 03:34:58,3.48,103.4,87.8,70,20,3.36
288,Urmary,RU,2020-10-04 03:34:58,55.68,47.94,39.2,93,40,6.71
289,Hukuntsi,BW,2020-10-04 03:34:58,-24.0,21.75,54.14,32,37,7.78
290,Ketchikan,US,2020-10-04 03:33:04,55.34,-131.65,53.6,93,75,6.93
291,Elat,IL,2020-10-04 03:34:58,29.56,34.95,75.2,53,0,11.41
292,Savannah Bight,HN,2020-10-04 03:34:58,16.45,-85.85,84.43,70,99,6.51
293,Orange,US,2020-10-04 03:29:58,33.7,-117.77,75.99,73,1,5.82
294,Mikhaylovka,RU,2020-10-04 03:34:58,50.06,43.24,46.99,53,95,6.76
295,Mamlyutka,KZ,2020-10-04 03:34:58,54.94,68.54,37.4,74,90,13.42
296,Almaty,KZ,2020-10-04 03:34:58,43.25,76.95,53.6,54,75,3.65
297,Beringovskiy,RU,2020-10-04 03:32:10,63.05,179.32,34.48,90,100,13.96
298,Vestmannaeyjar,IS,2020-10-04 03:31:59,63.44,-20.27,44.65,84,94,9.06
299,Destin,US,2020-10-04 03:34:59,30.39,-86.5,68.0,64,1,3.36
300,Eydhafushi,MV,2020-10-04 03:34:59,5.1,73.07,80.92,77,97,12.97
301,Atambua,ID,2020-10-04 03:34:59,-9.11,124.89,87.58,43,55,0.2
302,Alyangula,AU,2020-10-04 03:34:59,-13.85,136.42,89.6,49,75,11.41
303,Pangai,TO,2020-10-04 03:34:59,-19.8,-174.35,78.8,83,90,18.34
304,Chipinge,ZW,2020-10-04 03:31:58,-20.19,32.62,63.59,68,16,3.51
305,Flinders,AU,2020-10-04 03:32:19,-34.58,150.86,82.0,57,15,4.0
